model,feature,bin,n,value_min,value_max,direct_exact,gold_location_exact,gold_minus_direct_exact,direct_location_f1,gold_location_location_f1,gold_minus_direct_location_f1,direct_correct_gold_wrong_rate
qwen2.5-coder:32b,direct_output_word_count,q2_24_to_35,3798,25,35,0.14718272775144814,0.03923117430226435,-0.10795155344918378,0.6833179032568547,0.6975296898210467,0.014211786564191975,0.12611901000526593
qwen2.5-coder:32b,direct_output_char_count,q4_gt_506,3713,507,2716,0.03985995152168058,0.014274171828709938,-0.025585779692970642,0.6281920434524231,0.7329531451141901,0.104761101661767,0.03501211957985457
qwen2.5-coder:32b,direct_output_char_count,q1_le_276,3722,17,276,0.1845781837721655,0.08194519075765717,-0.10263299301450833,0.604119367925874,0.6402073455241328,0.03608797759825888,0.1324556689951639
qwen2.5-coder:32b,direct_output_char_count,q3_376_to_506,3693,377,506,0.10289737340915245,0.027078256160303276,-0.07581911724884917,0.690708580153921,0.733082689457897,0.042374109303976004,0.08935824532900082
qwen2.5-coder:32b,direct_output_char_count,q2_276_to_376,3727,277,376,0.15562114301046417,0.04373490743225114,-0.11188623557821303,0.689304189091853,0.6969344079482265,0.007630218856373494,0.1266434129326536
qwen2.5-coder:32b,gold_location_output_line_count,q4_gt_10,3669,11,74,0.021804306350504225,0.005451076587626056,-0.016353229762878167,0.5933734293791356,0.6840996019534281,0.0907261725742925,0.01826110656854729
qwen2.5-coder:32b,gold_location_output_line_count,q3_8_to_10,2490,9,10,0.04819277108433735,0.005220883534136547,-0.0429718875502008,0.6227262691470542,0.6985621640425385,0.07583589489548426,0.04538152610441767
qwen2.5-coder:32b,gold_location_output_line_count,q1_le_8,8696,1,8,0.18341766329346826,0.06761729530818768,-0.11580036798528058,0.6868856165414561,0.7083342284277617,0.021448611886305646,0.14316927322907083
qwen2.5-coder:32b,gold_location_output_word_count,q4_gt_45,3629,46,246,0.06530724717553045,0.008817856158721412,-0.05648939101680904,0.6291181121549493,0.7080904335639808,0.07897232140903154,0.05924497106640948
qwen2.5-coder:32b,gold_location_output_word_count,q1_le_22,3761,2,22,0.17468758308960383,0.09492156341398564,-0.0797660196756182,0.6498588623162048,0.6889233414972165,0.039064479181011635,0.11858548258441903
qwen2.5-coder:32b,gold_location_output_word_count,q2_22_to_32,3882,23,32,0.14193714580113342,0.03967027305512622,-0.10226687274600721,0.6726073726590559,0.7025128626636709,0.029905490004614954,0.1184956208140134
qwen2.5-coder:32b,gold_location_output_word_count,q3_32_to_45,3583,33,45,0.09768350544236673,0.021769466927156013,-0.07591403851521072,0.6593866070802967,0.7036561191196696,0.044269512039372905,0.08484510186994139
qwen2.5-coder:32b,gold_location_output_char_count,q4_gt_473,3700,474,2097,0.05540540540540541,0.00972972972972973,-0.04567567567567568,0.6344505457217338,0.737090217089821,0.10263967136808727,0.049189189189189186
qwen2.5-coder:32b,gold_location_output_char_count,q1_le_262,3754,5,262,0.16409163558870538,0.08364411294619073,-0.08044752264251465,0.6145137553627131,0.6301342577985111,0.015620502435797934,0.11880660628662759
qwen2.5-coder:32b,gold_location_output_char_count,q3_353_to_473,3717,354,473,0.11030400860909335,0.026096314231907454,-0.0842076943771859,0.6816552822498175,0.7362839752031749,0.05462869295335737,0.09362389023405973
qwen2.5-coder:32b,gold_location_output_char_count,q2_262_to_353,3684,263,353,0.15309446254071662,0.04723127035830619,-0.10586319218241044,0.6820761409033941,0.7001982452776098,0.018122104374215686,0.12187839305103149
